Chapter,Line Number,Start Time,End Time
1,1,0,6.48
1,2,6.48,17
1,3,17,27
1,4,27,37
1,5,37,47
1,6,47,57
1,7,57,67
1,8,67,77
1,9,77,89
1,10,89,100
1,11,100,110
1,12,110,121
1,13,121,131
2,14,131,134
2,15,134,144
2,16,144,153
2,17,153,163
2,18,163,173
2,19,173,183
2,20,183,193
2,21,193,203
2,22,203,213
2,23,213,224
2,24,224,234
2,25,234,244
2,26,244,254
2,27,254,264
2,28,264,274
2,29,274,284
2,30,284,294
3,31,294,298
3,32,298,308
3,33,308,313
3,34,313,318
3,35,318,322
3,36,322,332
3,37,332,337
3,38,337,342
3,39,342,347
3,40,347,351
3,41,351,356
3,42,356,366
3,43,366,371
3,44,371,377
3,45,377,384
3,46,384,387
3,47,387,392
3,48,392,397
3,49,397,402
3,50,402,407
3,51,407,415
3,52,415,418
3,53,418,423
3,54,423,428
3,55,428,433
3,56,433,438
3,57,438,443
3,58,443,448
3,59,448,453
3,60,453,458
3,61,458,463
3,62,463,468
3,63,468,473
3,64,473,478
3,65,478,484
3,66,484,489
3,67,489,499
3,68,499,504
3,69,504,509
3,70,509,519
3,71,519,529
3,72,529,539
3,73,539,549
3,74,549,554
3,75,554,559
3,76,559,570
3,77,570,580
3,78,580,590
3,79,590,595
3,80,595,601
4,81,601,604
4,82,604,614
4,83,614,624
4,84,624,629
4,85,629,633
4,86,633,638
4,87,638,643
4,88,643,648
4,89,648,653
4,90,653,658
4,91,658,663
4,92,663,672
4,93,672,677
4,94,677,682
4,95,682,687
4,96,687,692
4,97,692,701
4,98,701,706
4,99,706,710
4,100,710,715
4,101,715,719
4,102,719,724
4,103,724,729
5,104,729,733
5,105,733,738
5,106,738,743
5,107,743,748
5,108,748,752
5,109,752,759
5,110,759,761
5,111,761,766
5,112,766,770
5,113,770,775
5,114,775,779
5,115,779,784
5,116,784,789
5,117,789,794
5,118,794,799
5,119,799,805
5,120,805,809
5,121,809,814
5,122,814,819
5,123,819,824
5,124,824,829
5,125,829,834
5,126,834,838
5,127,838,843
5,128,843,847
5,129,847,852
5,130,852,857
5,131,857,861
5,132,861,867
5,133,867,872
5,134,872,876
5,135,876,881
5,136,881,886
6,137,886,889
6,138,889,896
6,139,896,898
6,140,898,903
6,141,903,908
6,142,908,913
6,143,913,917
6,144,917,921
6,145,921,926
6,146,926,932
6,147,932,935
6,148,935,940
6,149,940,944
6,150,944,949
6,151,949,953
6,152,953,957
6,153,957,962
6,154,962,966
6,155,966,971
6,156,971,976
6,157,976,981
6,158,981,985
6,159,985,990
6,160,990,993
6,161,993,999
6,162,999,1004
6,163,1004,1008
6,164,1008,1013
6,165,1013,1017
6,166,1017,1021
6,167,1021,1026
6,168,1026,1031
6,169,1031,1035
6,170,1035,1040
6,171,1040,1045
7,172,1045,1049
7,173,1049,1054
7,174,1054,1058
7,175,1058,1063
7,176,1063,1067
7,177,1067,1072
7,178,1072,1076
7,179,1076,1083
7,180,1083,1086
7,181,1086,1090
7,182,1090,1095
7,183,1095,1099
7,184,1099,1104
7,185,1104,1109
7,186,1109,1113
7,187,1113,1117
7,188,1117,1122
7,189,1122,1128
7,190,1128,1131
7,191,1131,1135
7,192,1135,1140
7,193,1140,1145
7,194,1145,1150
7,195,1150,1154
7,196,1154,1159
7,197,1159,1164
7,198,1164,1168
8,199,1168,1170
8,200,1170,1172
8,201,1172,1176
8,202,1176,1181
8,203,1181,1186
8,204,1186,1191
8,205,1191,1195
8,206,1195,1200
8,207,1200,1204
8,208,1204,1209
8,209,1209,1213
8,210,1213,1218
8,211,1218,1222
8,212,1222,1226
8,213,1226,1229
8,214,1229,1234
8,215,1234,1236
8,216,1236,1241
8,217,1241,1245
8,218,1245,1250
8,219,1250,1255
8,220,1255,1259
8,221,1259,1264
8,222,1264,1268
8,223,1268,1272
8,224,1272,1276
8,225,1276,1280
8,226,1280,1282
8,227,1282,1286
8,228,1286,1291
8,229,1291,1295
8,230,1295,1299
8,231,1299,1302
8,232,1302,1306
8,233,1306,1309
8,234,1309,1313
8,235,1313,1318
8,236,1318,1322
8,237,1322,1328
8,238,1328,1333
8,239,1333,1338
8,240,1338,1342
8,241,1342,1347
8,242,1347,1352
8,243,1352,1357
8,244,1357,1362
8,245,1362,1366
8,246,1366,1371
8,247,1371,1376
9,248,1376,1380
9,249,1380,1384
9,250,1384,1389
9,251,1389,1394
9,252,1394,1398
9,253,1398,1403
9,254,1403,1407
9,255,1407,1412
9,256,1412,1417
9,257,1417,1422
9,258,1422,1427
9,259,1427,1433
9,260,1433,1436
9,261,1436,1441
9,262,1441,1446
9,263,1446,1451
9,264,1451,1456
9,265,1456,1461
9,266,1461,1466
9,267,1466,1471
9,268,1471,1476
9,269,1476,1481
9,270,1481,1485
9,271,1485,1490
9,272,1490,1494
10,273,1494,1498
10,274,1498,1503
10,275,1503,1508
10,276,1508,1513
10,277,1513,1517
10,278,1517,1522
10,279,1522,1527
10,280,1527,1532
10,281,1532,1536
10,282,1536,1541
10,283,1541,1545
10,284,1545,1550
10,285,1550,1555
10,286,1555,1560
10,287,1560,1564
10,288,1564,1569
10,289,1569,1574
10,290,1574,1578
10,291,1578,1583
10,292,1583,1588
10,293,1588,1592
10,294,1592,1597
10,295,1597,1601
10,296,1601,1606
10,297,1606,1611
10,298,1611,1616
10,299,1616,1620
10,300,1620,1625
10,301,1625,1630
10,302,1630,1635
10,303,1635,1640
10,304,1640,1644
10,305,1644,1651

