Chapter,Line Number,Start Time,End Time
1,1,0,6.48
1,2,6.48,16.48
1,3,16.48,26.48
1,4,26.48,36.48
1,5,36.48,46.48
1,6,46.48,56.48
1,7,56.48,66.48
1,8,66.48,76.48
1,9,76.48,88.48
1,10,88.48,99.48
1,11,99.48,109.48
1,12,109.48,120.48
1,13,120.48,130.48
2,14,130.48,133.48
2,15,133.48,143.48
2,16,143.48,152.48
2,17,152.48,162.48
2,18,162.48,172.48
2,19,172.48,182.48
2,20,182.48,192.48
2,21,192.48,202.48
2,22,202.48,212.48
2,23,212.48,223.48
2,24,223.48,233.48
2,25,233.48,243.48
2,26,243.48,253.48
2,27,253.48,263.48
2,28,263.48,273.48
2,29,273.48,283.48
2,30,283.48,293.48
3,31,293.48,297.48
3,32,298.48,307.48
3,33,307.48,312.48
3,34,312.48,317.48
3,35,317.48,321.98
3,36,321.98,331.98
3,37,331.98,336.98
3,38,336.98,341.98
3,39,341.98,346.98
3,40,346.98,350.98
3,41,350.98,355.98
3,42,355.98,365.98
3,43,365.98,370.98
3,44,370.98,376.98
3,45,376.98,383.98
3,46,383.98,386.98
3,47,386.98,391.98
3,48,391.98,396.98
3,49,396.98,401.98
3,50,401.98,406.98
3,51,406.98,414.98
3,52,414.98,417.98
3,53,417.98,422.98
3,54,422.98,427.98
3,55,427.98,432.98
3,56,432.98,437.98
3,57,437.98,442.98
3,58,442.98,447.98
3,59,447.98,452.98
3,60,452.98,457.98
3,61,457.98,462.98
3,62,462.98,467.98
3,63,467.98,472.98
3,64,472.98,477.98
3,65,478.98,483.98
3,66,483.98,488.98
3,67,488.98,498.98
3,68,498.98,503.98
3,69,503.98,508.98
3,70,508.98,518.98
3,71,518.98,528.98
3,72,528.98,538.98
3,73,538.98,548.98
3,74,548.98,553.98
3,75,553.98,558.98
3,76,558.98,569.98
3,77,569.98,579.98
3,78,579.98,589.98
3,79,589.98,594.98
3,80,594.98,600.98
4,81,600.98,603.98
4,82,603.98,613.98
4,83,613.98,623.98
4,84,623.98,628.98
4,85,628.98,632.98
4,86,632.98,637.98
4,87,637.98,642.98
4,88,642.98,647.98
4,89,647.98,652.98
4,90,652.98,657.98
4,91,657.98,662.98
4,92,662.98,671.98
4,93,671.98,676.98
4,94,676.98,681.98
4,95,681.98,686.98
4,96,686.98,691.98
4,97,691.98,700.98
4,98,700.98,705.98
4,99,705.98,709.98
4,100,709.98,714.98
4,101,714.98,718.98
4,102,718.98,723.98
4,103,723.98,728.98
5,104,728.98,732.98
5,105,732.98,737.98
5,106,737.98,742.98
5,107,742.98,747.98
5,108,747.98,751.98
5,109,751.98,758.98
5,110,758.98,760.98
5,111,760.98,765.98
5,112,765.98,769.98
5,113,769.98,774.98
5,114,774.98,778.98
5,115,778.98,783.98
5,116,783.98,788.98
5,117,788.98,793.98
5,118,793.98,798.98
5,119,798.98,804.98
5,120,804.98,808.98
5,121,808.98,813.98
5,122,813.98,818.98
5,123,818.98,823.98
5,124,823.98,828.98
5,125,828.98,833.98
5,126,833.98,837.98
5,127,837.98,842.98
5,128,842.98,846.98
5,129,846.98,851.98
5,130,851.98,856.98
5,131,856.98,860.98
5,132,860.98,866.98
5,133,866.98,871.98
5,134,871.98,875.98
5,135,875.98,880.98
5,136,880.98,885.98
6,137,885.98,888.98
6,138,888.98,895.98
6,139,895.98,897.98
6,140,897.98,902.98
6,141,902.98,907.98
6,142,907.98,912.98
6,143,912.98,916.98
6,144,916.98,920.98
6,145,920.98,925.98
6,146,925.98,931.98
6,147,931.98,934.98
6,148,934.98,939.98
6,149,939.98,943.98
6,150,943.98,948.98
6,151,948.98,952.98
6,152,952.98,956.98
6,153,956.98,961.98
6,154,961.98,965.98
6,155,965.98,970.98
6,156,970.98,975.98
6,157,975.98,980.98
6,158,980.98,984.98
6,159,984.98,989.98
6,160,989.98,992.98
6,161,992.98,998.98
6,162,998.98,1003.98
6,163,1003.98,1007.98
6,164,1007.98,1012.98
6,165,1012.98,1016.98
6,166,1016.98,1020.98
6,167,1020.98,1025.98
6,168,1025.98,1030.98
6,169,1030.98,1034.98
6,170,1034.98,1039.98
6,171,1039.98,1044.98
7,172,1044.98,1048.98
7,173,1048.98,1053.98
7,174,1053.98,1057.98
7,175,1057.98,1062.98
7,176,1062.98,1066.98
7,177,1066.98,1071.98
7,178,1071.98,1075.98
7,179,1075.98,1082.98
7,180,1082.98,1085.98
7,181,1085.98,1089.98
7,182,1089.98,1094.98
7,183,1094.98,1098.98
7,184,1098.98,1103.98
7,185,1103.98,1108.98
7,186,1108.98,1112.98
7,187,1112.98,1116.98
7,188,1116.98,1121.98
7,189,1121.98,1127.98
7,190,1127.98,1130.98
7,191,1130.98,1134.98
7,192,1134.98,1139.98
7,193,1139.98,1144.98
7,194,1144.98,1149.98
7,195,1149.98,1153.98
7,196,1153.98,1158.98
7,197,1158.98,1163.98
7,198,1163.98,1167.98
8,199,1167.98,1169.98
8,200,1169.98,1171.98
8,201,1171.98,1175.98
8,202,1175.98,1180.98
8,203,1180.98,1185.98
8,204,1185.98,1190.98
8,205,1190.98,1194.98
8,206,1194.98,1199.98
8,207,1199.98,1203.98
8,208,1203.98,1208.98
8,209,1208.98,1212.98
8,210,1212.98,1217.98
8,211,1217.98,1221.98
8,212,1221.98,1225.98
8,213,1225.98,1228.98
8,214,1228.98,1233.98
8,215,1233.98,1235.98
8,216,1235.98,1240.98
8,217,1240.98,1244.98
8,218,1244.98,1249.98
8,219,1249.98,1254.98
8,220,1254.98,1258.98
8,221,1258.98,1263.98
8,222,1263.98,1267.98
8,223,1267.98,1271.98
8,224,1271.98,1275.98
8,225,1275.98,1279.98
8,226,1279.98,1281.98
8,227,1281.98,1285.98
8,228,1285.98,1290.98
8,229,1290.98,1294.98
8,230,1294.98,1298.98
8,231,1298.98,1301.98
8,232,1301.98,1305.98
8,233,1305.98,1308.98
8,234,1308.98,1312.98
8,235,1312.98,1317.98
8,236,1317.98,1321.98
8,237,1321.98,1327.98
8,238,1327.98,1332.98
8,239,1332.98,1337.98
8,240,1337.98,1341.98
8,241,1341.98,1346.98
8,242,1346.98,1351.98
8,243,1351.98,1356.98
8,244,1356.98,1361.98
8,245,1361.98,1365.98
8,246,1365.98,1370.98
8,247,1370.98,1375.98
9,248,1375.98,1379.98
9,249,1379.98,1383.98
9,250,1383.98,1388.98
9,251,1388.98,1393.98
9,252,1393.98,1397.98
9,253,1397.98,1402.98
9,254,1402.98,1406.98
9,255,1406.98,1411.98
9,256,1411.98,1416.98
9,257,1416.98,1421.98
9,258,1421.98,1426.98
9,259,1426.98,1432.98
9,260,1432.98,1435.98
9,261,1435.98,1440.98
9,262,1440.98,1445.98
9,263,1445.98,1450.98
9,264,1450.98,1455.98
9,265,1455.98,1460.98
9,266,1460.98,1465.98
9,267,1465.98,1470.98
9,268,1470.98,1475.98
9,269,1475.98,1480.98
9,270,1480.98,1484.98
9,271,1484.98,1489.98
9,272,1489.98,1493.98
10,273,1493.98,1497.98
10,274,1497.98,1502.98
10,275,1502.98,1507.98
10,276,1507.98,1512.98
10,277,1512.98,1516.98
10,278,1516.98,1521.98
10,279,1521.98,1526.98
10,280,1526.98,1531.98
10,281,1531.98,1535.98
10,282,1535.98,1540.98
10,283,1540.98,1544.98
10,284,1544.98,1549.98
10,285,1549.98,1554.98
10,286,1554.98,1559.98
10,287,1559.98,1563.98
10,288,1563.98,1568.98
10,289,1568.98,1573.98
10,290,1573.98,1577.98
10,291,1577.98,1582.98
10,292,1582.98,1587.98
10,293,1587.98,1591.98
10,294,1591.98,1596.98
10,295,1596.98,1600.98
10,296,1600.98,1605.98
10,297,1605.98,1610.98
10,298,1610.98,1615.98
10,299,1615.98,1619.98
10,300,1619.98,1624.98
10,301,1624.98,1629.98
10,302,1629.98,1634.98
10,303,1634.98,1639.98
10,304,1639.98,1643.98
10,305,1643.98,1650.98
